epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3904.18,0.38418,0.35352,1.13478,0.96256,0.95861,0.98174,0.83216,0.63915,0.42181,1.24547,6.1152e-05,6.1152e-05,6.1152e-05
42,3997.15,0.36409,0.31674,1.11266,0.97497,0.95748,0.98549,0.83931,0.63075,0.4007,1.24155,5.53308e-05,5.53308e-05,5.53308e-05
43,4100.41,0.34932,0.29855,1.09748,0.96706,0.96362,0.98623,0.83465,0.63931,0.4012,1.24901,4.95096e-05,4.95096e-05,4.95096e-05
44,4204.59,0.34246,0.29287,1.08726,0.96914,0.97027,0.98667,0.84328,0.62232,0.39038,1.24601,4.36884e-05,4.36884e-05,4.36884e-05
45,4284.94,0.32707,0.2792,1.07222,0.97313,0.97413,0.98836,0.83851,0.62765,0.37146,1.24251,3.78672e-05,3.78672e-05,3.78672e-05
46,4364.9,0.32538,0.2742,1.07624,0.97401,0.97248,0.98692,0.83859,0.62799,0.38323,1.24506,3.2046e-05,3.2046e-05,3.2046e-05
47,4450.21,0.31483,0.26265,1.05768,0.97291,0.96961,0.98452,0.84774,0.60638,0.37532,1.22638,2.62248e-05,2.62248e-05,2.62248e-05
48,4553.46,0.30699,0.25766,1.0512,0.96629,0.97666,0.98621,0.83966,0.6243,0.37646,1.25099,2.04036e-05,2.04036e-05,2.04036e-05
49,4634.83,0.30057,0.25287,1.04736,0.97151,0.96993,0.98657,0.84146,0.62286,0.37292,1.25701,1.45824e-05,1.45824e-05,1.45824e-05
50,4715.84,0.30193,0.25304,1.04874,0.97286,0.9652,0.985,0.84035,0.6285,0.37741,1.26081,8.7612e-06,8.7612e-06,8.7612e-06
